tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt_v1,awarded_amt,main_category,augmented_text
NPB000ETT18300054,PROVISION OF HORTICULTURE SERVICES FOR SEMBAWANG UNIT FOR A PERIOD OF THREE (3) YEARS,National Parks Board,26/11/2018,Awarded to Suppliers,KIM BOCK CONTRACTOR PRIVATE LIMITED,"2,565,000.0",$2565000,Statutory Boards & Regulatory Agencies,"On 26/11/2018, KIM BOCK CONTRACTOR PRIVATE LIMITED secured the contract, which is valued at $2565000.0. National Parks Board, a prominent Statutory Boards & Regulatory Agencies organization, has launched Tender No. NPB000ETT18300054 for PROVISION OF HORTICULTURE SERVICES FOR SEMBAWANG UNIT FOR A PERIOD OF THREE (3) YEARS. This tender holds the status: Awarded to Suppliers."
LTA000ETT18300033,Appointment of Qualified Person (Supervision),Land Transport Authority,1/3/2019,Awarded to Suppliers,R.J. CROCKER CONSULTANTS PTE. LTD.,"2,822,238.0",$2822238,Statutory Boards & Regulatory Agencies,"Announcing Tender No. LTA000ETT18300033, Land Transport Authority (Statutory Boards & Regulatory Agencies) invites proposals for Appointment of Qualified Person (Supervision). The contract was awarded on 1/3/2019 to R.J. CROCKER CONSULTANTS PTE. LTD. with a value of $2822238.0. The current status of the tender is: Awarded to Suppliers."
HDB000ETT16000048,Construction of Heavy Vehicle Parking Lots and Ancillary Works at Marsiling Industrial Estate,Housing and Development Board,10/5/2016,Awarded to Suppliers,MEIZHUAN BUILDERS PTE LTD,"751,760.0",$751760,Statutory Boards & Regulatory Agencies,"The current status of the tender is: Awarded to Suppliers. With an aim to secure quality services, Housing and Development Board from Statutory Boards & Regulatory Agencies published Tender No. HDB000ETT16000048 for Construction of Heavy Vehicle Parking Lots and Ancillary Works at Marsiling Industrial Estate. MEIZHUAN BUILDERS PTE LTD was chosen on 10/5/2016 to fulfill the tender with a total value of $751760.0."
NPB000ETT15000064,PROVISION OF HORTICULTURE SERVICES IN BUKIT BATOK UNIT,National Parks Board,25/11/2015,Awarded to Suppliers,PRINCE'S LANDSCAPE AND CONSTRUCTION PTE LTD,"4,602,300.0",$4602300,Statutory Boards & Regulatory Agencies,"PRINCE'S LANDSCAPE AND CONSTRUCTION PTE LTD was chosen on 25/11/2015 to fulfill the tender with a total value of $4602300.0. The current status of the tender is: Awarded to Suppliers. In a call for competitive bids, National Parks Board (Statutory Boards & Regulatory Agencies) released Tender No. NPB000ETT15000064 regarding PROVISION OF HORTICULTURE SERVICES IN BUKIT BATOK UNIT."
HDB000ETT18000016,Specialist Accredited Checking Services For Building Works At Choa Chu Kang Neighbourhood 1 Contract 16,Housing and Development Board,9/2/2018,Awarded to Suppliers,ALLIANCE CONSULTING ENGINEERS PTE. LTD.,"4,800.0",$4800,Statutory Boards & Regulatory Agencies,"Housing and Development Board, a prominent Statutory Boards & Regulatory Agencies organization, has launched Tender No. HDB000ETT18000016 for Specialist Accredited Checking Services For Building Works At Choa Chu Kang Neighbourhood 1 Contract 16. ALLIANCE CONSULTING ENGINEERS PTE. LTD. was chosen on 9/2/2018 to fulfill the tender with a total value of $4800.0. The current status of the tender is: Awarded to Suppliers."
HSA000ETT18300046,SUPPLY OF ULTRA-LOW TEMPERATURE FREEZER AND PLASMA FREEZER,Health Sciences Authority,20/12/2018,Awarded by Items,Mecomb S'pore Ltd,"147,280.0",$147280,Statutory Boards & Regulatory Agencies,"As of 20/12/2018, the tender did not attract any qualifying bids, leaving it unawarded. Status update: Awarded by Items. With an aim to secure quality services, Health Sciences Authority from Statutory Boards & Regulatory Agencies published Tender No. HSA000ETT18300046 for SUPPLY OF ULTRA-LOW TEMPERATURE FREEZER AND PLASMA FREEZER."
HDB000ETT20300168,Supply Of Fine Aggregates To The HDB (Batch 72),Housing and Development Board,20/11/2020,Awarded to Suppliers,PROSPAQ GROUP PTE. LTD.,23.0,$22.97,Statutory Boards & Regulatory Agencies,"Following a thorough evaluation, the award was granted on 20/11/2020 to PROSPAQ GROUP PTE. LTD. for $22.97. In a call for competitive bids, Housing and Development Board (Statutory Boards & Regulatory Agencies) released Tender No. HDB000ETT20300168 regarding Supply Of Fine Aggregates To The HDB (Batch 72). The current status of the tender is: Awarded to Suppliers."
LTA000ETT18300125,Accredited Checker Services for North-South Corridor for Contract N101,Land Transport Authority,8/3/2019,Awarded to Suppliers,ECAS CONSULTANTS PTE. LTD.,"488,450.0",$488450,Statutory Boards & Regulatory Agencies,"Following a thorough evaluation, the award was granted on 8/3/2019 to ECAS CONSULTANTS PTE. LTD. for $488450.0. Land Transport Authority, a prominent Statutory Boards & Regulatory Agencies organization, has launched Tender No. LTA000ETT18300125 for Accredited Checker Services for North-South Corridor for Contract N101. This tender holds the status: Awarded to Suppliers."
CAA000ETT17000091,Provision of Firewalls for the Automatic Dependent Surveillance Broadcast Data Processing System (ADS-B DPS),Civil Aviation Authority of Singapore,27/4/2018,Awarded to Suppliers,LOGICALIS SINGAPORE PTE. LTD.,"83,355.0",$83355,Statutory Boards & Regulatory Agencies,The current status of the tender is: Awarded to Suppliers. The contract was awarded on 27/4/2018 to LOGICALIS SINGAPORE PTE. LTD. with a value of $83355.0. Civil Aviation Authority of Singapore (Statutory Boards & Regulatory Agencies) has issued Tender No. CAA000ETT17000091 seeking submissions for Provision of Firewalls for the Automatic Dependent Surveillance Broadcast Data Processing System (ADS-B DPS).
HDB000ETT15000306,Provision Of Event Management Services And Logistic Services For Community Events For The Period Of 12 Months From December 2015 To November 2016,Housing and Development Board,16/12/2015,Awarded to Suppliers,CITYNEON EVENTS PTE. LTD.,"809,443.6",$809443.6,Statutory Boards & Regulatory Agencies,"Announcing Tender No. HDB000ETT15000306, Housing and Development Board (Statutory Boards & Regulatory Agencies) invites proposals for Provision Of Event Management Services And Logistic Services For Community Events For The Period Of 12 Months From December 2015 To November 2016. Following a thorough evaluation, the award was granted on 16/12/2015 to CITYNEON EVENTS PTE. LTD. for $809443.6. Tender status is recorded as 'Awarded to Suppliers'."
NPB000ETT19300012,SUPPLY & DELIVERY OF REMOTE-SENSING AND 3D SOFTWARE AND COURSE,National Parks Board,16/8/2019,Awarded by Items,ESRI SINGAPORE PTE. LTD.,"72,662.0",$72662,Statutory Boards & Regulatory Agencies,"Ultimately, no supplier was selected, and the tender remained unawarded as of 16/8/2019. The current status of the tender is: Awarded by Items. With an aim to secure quality services, National Parks Board from Statutory Boards & Regulatory Agencies published Tender No. NPB000ETT19300012 for SUPPLY & DELIVERY OF REMOTE-SENSING AND 3D SOFTWARE AND COURSE."
NEA000ETT19300007,Tender for additions and alterations works at Mandai Crematorium and Columbarium (MCC),National Environment Agency,11/9/2019,Awarded to Suppliers,G.T.H. ENGINEERING & CONSTRUCTION PTE. LTD.,"226,400.0",$226400,Statutory Boards & Regulatory Agencies,"Tender status is recorded as 'Awarded to Suppliers'. Announcing Tender No. NEA000ETT19300007, National Environment Agency (Statutory Boards & Regulatory Agencies) invites proposals for Tender for additions and alterations works at Mandai Crematorium and Columbarium (MCC). G.T.H. ENGINEERING & CONSTRUCTION PTE. LTD. was chosen on 11/9/2019 to fulfill the tender with a total value of $226400.0."
MAS000ETT17000013,INVITATION TO TENDER FOR GALLERY MAINTENANCE OVER THREE YEARS FROM 1 MAY 2017 TO 30 APRIL 2020 - PR1100005045 - CSD,Monetary Authority of Singapore,26/4/2017,Awarded to Suppliers,MEDIATECHNIC SOLUTIONS PTE. LTD.,"66,500.0",$66500,Statutory Boards & Regulatory Agencies,"Status update: Awarded to Suppliers. On 26/4/2017, MEDIATECHNIC SOLUTIONS PTE. LTD. secured the contract, which is valued at $66500.0. With an aim to secure quality services, Monetary Authority of Singapore from Statutory Boards & Regulatory Agencies published Tender No. MAS000ETT17000013 for INVITATION TO TENDER FOR GALLERY MAINTENANCE OVER THREE YEARS FROM 1 MAY 2017 TO 30 APRIL 2020 - PR1100005045 - CSD."
HDB000ETT15000029,Accredited Checking Services For Building Works At Bukit Batok Neighbourhood 4 Contract 10 & 11 & Park,Housing and Development Board,6/3/2015,Awarded to Suppliers,CKM CONSULTANTS PTE LTD,"24,750.0",$24750,Statutory Boards & Regulatory Agencies,"Tender status is recorded as 'Awarded to Suppliers'. On 6/3/2015, CKM CONSULTANTS PTE LTD secured the contract, which is valued at $24750.0. With an aim to secure quality services, Housing and Development Board from Statutory Boards & Regulatory Agencies published Tender No. HDB000ETT15000029 for Accredited Checking Services For Building Works At Bukit Batok Neighbourhood 4 Contract 10 & 11 & Park."
CPF000ETT15000007,Tender for the Production Of InTouch Online Magazine,Central Provident Fund Board,25/5/2015,Awarded to Suppliers,COMWERKS PTE. LTD.,"126,623.0",$126623,Statutory Boards & Regulatory Agencies,"With an aim to secure quality services, Central Provident Fund Board from Statutory Boards & Regulatory Agencies published Tender No. CPF000ETT15000007 for Tender for the Production Of InTouch Online Magazine. The current status of the tender is: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 25/5/2015 to COMWERKS PTE. LTD. for $126623.0."
HDB000ETT14000338,(A) Design And Build Of Upgrading Projects For G18G; (B) Contingency Works,Housing and Development Board,7/1/2015,Awarded to Suppliers,CHUAN LIM CONSTRUCTION PTE LTD,"27,142,000.0",$27142000,Statutory Boards & Regulatory Agencies,"Status update: Awarded to Suppliers. In a call for competitive bids, Housing and Development Board (Statutory Boards & Regulatory Agencies) released Tender No. HDB000ETT14000338 regarding (A) Design And Build Of Upgrading Projects For G18G; (B) Contingency Works. Following a thorough evaluation, the award was granted on 7/1/2015 to CHUAN LIM CONSTRUCTION PTE LTD for $27142000.0."
HDB000ETT16000096,Specialist Accredited Checking Services For Building Works At Bukit Panjang Neighbourhood 6 Contracts 13 & 14,Housing and Development Board,27/5/2016,Awarded to Suppliers,AGS CONSULTANTS PTE. LTD.,"9,000.0",$9000,Statutory Boards & Regulatory Agencies,"Tender status is recorded as 'Awarded to Suppliers'. Announcing Tender No. HDB000ETT16000096, Housing and Development Board (Statutory Boards & Regulatory Agencies) invites proposals for Specialist Accredited Checking Services For Building Works At Bukit Panjang Neighbourhood 6 Contracts 13 & 14. AGS CONSULTANTS PTE. LTD. was chosen on 27/5/2016 to fulfill the tender with a total value of $9000.0."
LTA000ETT16000150,Supply and Installation of Fire Protection System for 4-In-1 Rail and Bus Depot,Land Transport Authority,31/5/2017,Awarded to Suppliers,CHUBB SINGAPORE PRIVATE LIMITED,"32,450,000.0",$32450000,Statutory Boards & Regulatory Agencies,"Announcing Tender No. LTA000ETT16000150, Land Transport Authority (Statutory Boards & Regulatory Agencies) invites proposals for Supply and Installation of Fire Protection System for 4-In-1 Rail and Bus Depot. Tender status is recorded as 'Awarded to Suppliers'. CHUBB SINGAPORE PRIVATE LIMITED was chosen on 31/5/2017 to fulfill the tender with a total value of $32450000.0."
BCA000ETT16000037,"PROVISION OF SOFTWARE, LICENSES AND PROFESSIONAL SERVICES TO STUDY, DESIGN, UPGRADE, COMMISSION, MAINTAIN AND SUPPORT BCA FINANCIAL MANAGEMENT SYSTEM (FMS) FROM JAN 2017 TO JAN 2019 WITH OPTION TO EXTEND THE SYSTEM MAINTENANCE SERVICE FROM FEB 2019 TO JAN 2021",Building and Construction Authority,9/2/2017,Awarded to Suppliers,NTT DATA SINGAPORE PTE. LTD,"1,058,617.0",$1058617,Statutory Boards & Regulatory Agencies,"Status update: Awarded to Suppliers. With an aim to secure quality services, Building and Construction Authority from Statutory Boards & Regulatory Agencies published Tender No. BCA000ETT16000037 for PROVISION OF SOFTWARE, LICENSES AND PROFESSIONAL SERVICES TO STUDY, DESIGN, UPGRADE, COMMISSION, MAINTAIN AND SUPPORT BCA FINANCIAL MANAGEMENT SYSTEM (FMS) FROM JAN 2017 TO JAN 2019 WITH OPTION TO EXTEND THE SYSTEM MAINTENANCE SERVICE FROM FEB 2019 TO JAN 2021. NTT DATA SINGAPORE PTE. LTD was chosen on 9/2/2017 to fulfill the tender with a total value of $1058617.0."
SLA000ETT17000020,Invitation to Tender for the Provision of Unmanned Aerial Vehicle (UAV) Services and Analytical Services via Machine Learning for a Period of Twelve (12) Months,Singapore Land Authority,25/1/2018,Awarded to Suppliers,AEROLION TECHNOLOGIES PTE. LTD.,"148,000.0",$148000,Statutory Boards & Regulatory Agencies,This tender holds the status: Awarded to Suppliers. Singapore Land Authority (Statutory Boards & Regulatory Agencies) has issued Tender No. SLA000ETT17000020 seeking submissions for Invitation to Tender for the Provision of Unmanned Aerial Vehicle (UAV) Services and Analytical Services via Machine Learning for a Period of Twelve (12) Months. AEROLION TECHNOLOGIES PTE. LTD. was chosen on 25/1/2018 to fulfill the tender with a total value of $148000.0.
LTA000ETT16100049,Construction of Kim Chuan Depot Extension for Circle Line 6,Land Transport Authority,8/9/2017,Awarded to Suppliers,WOH HUP (PRIVATE) LIMITED,"1,211,738,000.0",$1211738000,Statutory Boards & Regulatory Agencies,Land Transport Authority (Statutory Boards & Regulatory Agencies) has issued Tender No. LTA000ETT16100049 seeking submissions for Construction of Kim Chuan Depot Extension for Circle Line 6. WOH HUP (PRIVATE) LIMITED was chosen on 8/9/2017 to fulfill the tender with a total value of $1211738000.0. Tender status is recorded as 'Awarded to Suppliers'.
NLB000ETT14000072,"TENDER FOR THE APPOINTMENT OF CONTRACTOR(S) TO PROVIDE AUTHORITY AND VOCABULARY CONTROL AND ISSN REGISTRATION SERVICES FOR THE NATIONAL LIBRARY BOARD, SINGAPORE",National Library Board,31/3/2015,Awarded to No Suppliers,Unknown,0.0,$0,Statutory Boards & Regulatory Agencies,"After a meticulous evaluation, no supplier was awarded as of 31/3/2015. National Library Board (Statutory Boards & Regulatory Agencies) has issued Tender No. NLB000ETT14000072 seeking submissions for TENDER FOR THE APPOINTMENT OF CONTRACTOR(S) TO PROVIDE AUTHORITY AND VOCABULARY CONTROL AND ISSN REGISTRATION SERVICES FOR THE NATIONAL LIBRARY BOARD, SINGAPORE. This tender holds the status: Awarded to No Suppliers."
CPF000ETT20300012,Replacement of Domestic Water Tank,Central Provident Fund Board,14/8/2020,Awarded to Suppliers,POLY-LINE PTE LTD,"75,700.0",$75700,Statutory Boards & Regulatory Agencies,"Following a thorough evaluation, the award was granted on 14/8/2020 to POLY-LINE PTE LTD for $75700.0. Status update: Awarded to Suppliers. Announcing Tender No. CPF000ETT20300012, Central Provident Fund Board (Statutory Boards & Regulatory Agencies) invites proposals for Replacement of Domestic Water Tank."
CAA000ETT16000059,Provision of a Workflow Automation System and Related Software Maintenance and Support Services,Civil Aviation Authority of Singapore,4/1/2017,Awarded to Suppliers,DELTEQ PTE LTD,"448,880.0",$448880,Statutory Boards & Regulatory Agencies,"With an aim to secure quality services, Civil Aviation Authority of Singapore from Statutory Boards & Regulatory Agencies published Tender No. CAA000ETT16000059 for Provision of a Workflow Automation System and Related Software Maintenance and Support Services. This tender holds the status: Awarded to Suppliers. DELTEQ PTE LTD was chosen on 4/1/2017 to fulfill the tender with a total value of $448880.0."
NEA000ETT18300023,Tender for Office Renovation for Singapore Environment Institute,National Environment Agency,22/6/2018,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,"441,058.3",$441058.3,Statutory Boards & Regulatory Agencies,"The contract was awarded on 22/6/2018 to D' PERCEPTION SINGAPORE PTE. LTD. with a value of $441058.3. Announcing Tender No. NEA000ETT18300023, National Environment Agency (Statutory Boards & Regulatory Agencies) invites proposals for Tender for Office Renovation for Singapore Environment Institute. The current status of the tender is: Awarded to Suppliers."
NEA000ETT17000028,Relocation of Cremators,National Environment Agency,8/6/2017,Awarded to Suppliers,Echelon Engineering Pte. Ltd.,"2,173,750.0",$2173750,Statutory Boards & Regulatory Agencies,"Status update: Awarded to Suppliers. The contract was awarded on 8/6/2017 to Echelon Engineering Pte. Ltd. with a value of $2173750.0. National Environment Agency, a prominent Statutory Boards & Regulatory Agencies organization, has launched Tender No. NEA000ETT17000028 for Relocation of Cremators."
PUB000ETT17000240,Settlement and Alignment Monitoring Surveys of Dams and Dykes in Singapore 2017-2019,Public Utilities Board,20/12/2017,Awarded to Suppliers,B P TAN REGISTERED SURVEYOR,"89,798.0",$89798,Statutory Boards & Regulatory Agencies,"Public Utilities Board (Statutory Boards & Regulatory Agencies) has issued Tender No. PUB000ETT17000240 seeking submissions for Settlement and Alignment Monitoring Surveys of Dams and Dykes in Singapore 2017-2019. The current status of the tender is: Awarded to Suppliers. On 20/12/2017, B P TAN REGISTERED SURVEYOR secured the contract, which is valued at $89798.0."
IDA000ETT16000082,INTEGRATED MARKETING & COMMUNICATIONS CAMPAIGN ON CYBER SECURITY,Government Technology Agency (GovTech),10/2/2017,Awarded to Suppliers,GERMS DIGITAL PTE. LTD.,"210,000.0",$210000,Statutory Boards & Regulatory Agencies,"The contract was awarded on 10/2/2017 to GERMS DIGITAL PTE. LTD. with a value of $210000.0. In a call for competitive bids, Government Technology Agency (GovTech) (Statutory Boards & Regulatory Agencies) released Tender No. IDA000ETT16000082 regarding INTEGRATED MARKETING & COMMUNICATIONS CAMPAIGN ON CYBER SECURITY. Status update: Awarded to Suppliers."
NHB000ETT20300022,INVITATION TO TENDER FOR THE PROVISION OF SECURITY GUARD SERVICES FOR THE NATIONAL HERITAGE BOARD PREMISES FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND FOR TWO (2) YEARS AND A FURTHER ONE (1) YEAR.,National Heritage Board,28/12/2020,Awarded to Suppliers,REACHFIELD SECURITY & SAFETY MANAGEMENT PTE. LTD.,"11,499,600.0",$11499600,Statutory Boards & Regulatory Agencies,"With an aim to secure quality services, National Heritage Board from Statutory Boards & Regulatory Agencies published Tender No. NHB000ETT20300022 for INVITATION TO TENDER FOR THE PROVISION OF SECURITY GUARD SERVICES FOR THE NATIONAL HERITAGE BOARD PREMISES FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND FOR TWO (2) YEARS AND A FURTHER ONE (1) YEAR.. This tender holds the status: Awarded to Suppliers. REACHFIELD SECURITY & SAFETY MANAGEMENT PTE. LTD. was chosen on 28/12/2020 to fulfill the tender with a total value of $11499600.0."
NEA000ETT19300064,Tender For Reinstatement Works At State Land,National Environment Agency,9/10/2019,Awarded to No Suppliers,Unknown,0.0,$0,Statutory Boards & Regulatory Agencies,"Status update: Awarded to No Suppliers. Ultimately, no supplier was selected, and the tender remained unawarded as of 9/10/2019. Announcing Tender No. NEA000ETT19300064, National Environment Agency (Statutory Boards & Regulatory Agencies) invites proposals for Tender For Reinstatement Works At State Land."
GVT000ETT17000020,PROVISION OF ADMINISTRATION AND OPERATIONAL SUPPORT FOR CONTRACTS ADMINISTERED BY THE GOVERNMENT TECHNOLOGY AGENCY,Government Technology Agency (GovTech),5/6/2017,Awarded to Suppliers,Adecco Personnel Pte Ltd,"2,967,104.0",$2967104,Statutory Boards & Regulatory Agencies,"Following a thorough evaluation, the award was granted on 5/6/2017 to Adecco Personnel Pte Ltd for $2967104.0. Government Technology Agency (GovTech) (Statutory Boards & Regulatory Agencies) has issued Tender No. GVT000ETT17000020 seeking submissions for PROVISION OF ADMINISTRATION AND OPERATIONAL SUPPORT FOR CONTRACTS ADMINISTERED BY THE GOVERNMENT TECHNOLOGY AGENCY. This tender holds the status: Awarded to Suppliers."
HDB000ETT17000107,Site Clearance And Earthworks At Toa Payoh West,Housing and Development Board,29/9/2017,Awarded to Suppliers,SING TEC DEVELOPMENT PTE. LTD.,"1,730,000.0",$1730000,Statutory Boards & Regulatory Agencies,"Tender status is recorded as 'Awarded to Suppliers'. Announcing Tender No. HDB000ETT17000107, Housing and Development Board (Statutory Boards & Regulatory Agencies) invites proposals for Site Clearance And Earthworks At Toa Payoh West. Following a thorough evaluation, the award was granted on 29/9/2017 to SING TEC DEVELOPMENT PTE. LTD. for $1730000.0."
EMA000ETT16000028,Retainer Service To Advise On Energy Peak Load Shifting And Demand-Side Management Initiatives,Energy Market Authority of Singapore,12/12/2016,Awarded to Suppliers,ACCENTURE PTE LTD,"3,187.5",$3187.5,Statutory Boards & Regulatory Agencies,"The contract was awarded on 12/12/2016 to ACCENTURE PTE LTD with a value of $3187.5. Status update: Awarded to Suppliers. With an aim to secure quality services, Energy Market Authority of Singapore from Statutory Boards & Regulatory Agencies published Tender No. EMA000ETT16000028 for Retainer Service To Advise On Energy Peak Load Shifting And Demand-Side Management Initiatives."
LTA000ETT14000268,Infrastructure Enhancement Works,Land Transport Authority,23/3/2015,Awarded to Suppliers,TRADESMEN PTE LTD,"675,730.0",$675730,Statutory Boards & Regulatory Agencies,"This tender holds the status: Awarded to Suppliers. On 23/3/2015, TRADESMEN PTE LTD secured the contract, which is valued at $675730.0. Land Transport Authority, a prominent Statutory Boards & Regulatory Agencies organization, has launched Tender No. LTA000ETT14000268 for Infrastructure Enhancement Works."
HDB000ETT17000178,Quantity Surveying Consultancy Services For (A) Design And Build Of Upgrading Projects For G24F; (B) Design And Build Of Upgrading Projects For G25E,Housing and Development Board,28/9/2017,Awarded to Suppliers,SEMBCORP ARCHITECTS & ENGINEERS PTE. LTD.,0.0,$0,Statutory Boards & Regulatory Agencies,SEMBCORP ARCHITECTS & ENGINEERS PTE. LTD. was chosen on 28/9/2017 to fulfill the tender with a total value of $0.0. This tender holds the status: Awarded to Suppliers. Housing and Development Board (Statutory Boards & Regulatory Agencies) has issued Tender No. HDB000ETT17000178 seeking submissions for Quantity Surveying Consultancy Services For (A) Design And Build Of Upgrading Projects For G24F; (B) Design And Build Of Upgrading Projects For G25E.
PUB000ETT18300299,44180480/WSP/Provision of rental for seven units of photocopier to PUB Johor River Waterworks for twenty-four months.,Public Utilities Board,25/1/2019,Awarded to Suppliers,ARCHER MARKETING & DEVELOPMENT (S) PTE LTD,"30,080.0",$30080,Statutory Boards & Regulatory Agencies,"Tender status is recorded as 'Awarded to Suppliers'. With an aim to secure quality services, Public Utilities Board from Statutory Boards & Regulatory Agencies published Tender No. PUB000ETT18300299 for 44180480/WSP/Provision of rental for seven units of photocopier to PUB Johor River Waterworks for twenty-four months.. On 25/1/2019, ARCHER MARKETING & DEVELOPMENT (S) PTE LTD secured the contract, which is valued at $30080.0."
LTA000ETT17300111,Communications System for North South Corridor,Land Transport Authority,27/4/2018,Awarded to Suppliers,ST ENGINEERING ELECTRONICS LTD.,"30,800,000.0",$30800000,Statutory Boards & Regulatory Agencies,Tender status is recorded as 'Awarded to Suppliers'. ST ENGINEERING ELECTRONICS LTD. was chosen on 27/4/2018 to fulfill the tender with a total value of $30800000.0. Land Transport Authority (Statutory Boards & Regulatory Agencies) has issued Tender No. LTA000ETT17300111 seeking submissions for Communications System for North South Corridor.
NPB000ETT17000037,Term Contract for Development and Upgrading Works in Parks and Open Spaces managed by the National Parks Board for a Period of Three (3) Years,National Parks Board,15/9/2017,Awarded to Suppliers,TOH KIM BOCK C-E CONTRACTOR PTE LTD,"10,102,500.0",$10102500,Statutory Boards & Regulatory Agencies,"Following a thorough evaluation, the award was granted on 15/9/2017 to TOH KIM BOCK C-E CONTRACTOR PTE LTD for $10102500.0. This tender holds the status: Awarded to Suppliers. With an aim to secure quality services, National Parks Board from Statutory Boards & Regulatory Agencies published Tender No. NPB000ETT17000037 for Term Contract for Development and Upgrading Works in Parks and Open Spaces managed by the National Parks Board for a Period of Three (3) Years."
LTA000ETT15000036,Provision of Electricity for Street Lighting and Commuter Facilities for 12 Months,Land Transport Authority,6/3/2015,Awarded to Suppliers,TUAS POWER SUPPLY PTE LTD,18.4,$18.4,Statutory Boards & Regulatory Agencies,"Land Transport Authority, a prominent Statutory Boards & Regulatory Agencies organization, has launched Tender No. LTA000ETT15000036 for Provision of Electricity for Street Lighting and Commuter Facilities for 12 Months. Status update: Awarded to Suppliers. TUAS POWER SUPPLY PTE LTD was chosen on 6/3/2015 to fulfill the tender with a total value of $18.4."
PMOHQ0ETT17000002,INVITATION TO TENDER FOR SERVICES DETECTION WORKS IN ISTANA,Prime Minister's Office-Ministry Headquarter,9/10/2017,Awarded to Suppliers,CABLES & UTILITIES DETECTION SERVICES PTE LTD,"98,000.0",$98000,Judiciary & Executive Bodies,"Following a thorough evaluation, the award was granted on 9/10/2017 to CABLES & UTILITIES DETECTION SERVICES PTE LTD for $98000.0. In a call for competitive bids, Prime Minister's Office-Ministry Headquarter (Judiciary & Executive Bodies) released Tender No. PMOHQ0ETT17000002 regarding INVITATION TO TENDER FOR SERVICES DETECTION WORKS IN ISTANA. Tender status is recorded as 'Awarded to Suppliers'."
PMOHQ0ETT18300003,INVITATION TO TENDER FOR SUPPLY AND DELIVERY OF CURTAINS TO ISTANA AT ORCHARD ROAD,Prime Minister's Office-Ministry Headquarter,11/3/2019,Awarded to No Suppliers,Unknown,0.0,$0,Judiciary & Executive Bodies,"Ultimately, no supplier was selected, and the tender remained unawarded as of 11/3/2019. Announcing Tender No. PMOHQ0ETT18300003, Prime Minister's Office-Ministry Headquarter (Judiciary & Executive Bodies) invites proposals for INVITATION TO TENDER FOR SUPPLY AND DELIVERY OF CURTAINS TO ISTANA AT ORCHARD ROAD. This tender holds the status: Awarded to No Suppliers."
AGC000ETT15000005,"Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers",Attorney-General's Chambers,14/9/2015,Awarded to Suppliers,TAIGER SPAIN S.L.,"1,050,267.6",$1050267.62,Judiciary & Executive Bodies,"Status update: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 14/9/2015 to TAIGER SPAIN S.L. for $1050267.62. Announcing Tender No. AGC000ETT15000005, Attorney-General's Chambers (Judiciary & Executive Bodies) invites proposals for Invitation To Tender For The Supply, Design, Configuration, Customisation, Testing, Installation And Commissioning Of A Fully Operational Enterprise Search Engine With An Option For Maintenance For The Attorney-General's Chambers."
PMOPSDETT15000008,TENDER FOR REPAIR AND REFURBISHMENT WORKS TO ALOHA LOYANG,Prime Minister's Office-Public Service Division,6/8/2015,Awarded to Suppliers,ISO-TEAM CORPORATION PTE LTD,"1,558,899.0",$1558899,Judiciary & Executive Bodies,"This tender holds the status: Awarded to Suppliers. The contract was awarded on 6/8/2015 to ISO-TEAM CORPORATION PTE LTD with a value of $1558899.0. In a call for competitive bids, Prime Minister's Office-Public Service Division (Judiciary & Executive Bodies) released Tender No. PMOPSDETT15000008 regarding TENDER FOR REPAIR AND REFURBISHMENT WORKS TO ALOHA LOYANG."
JUDSUPETT14000009,TENDER FOR THE PROVISION OF COMPREHENSIVE MAINTENANCE (PREVENTIVE AND CORRECTIVE) SERVICES OF THE SUPREME COURTS THE LEARNING COURT FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND THE SERVICES FOR A FURTHER PERIOD OF ONE (1) YEAR,Judiciary-Supreme Court,25/2/2015,Awarded to Suppliers,Pico Art International Pte Ltd,"46,101.0",$46101,Judiciary & Executive Bodies,"Following a thorough evaluation, the award was granted on 25/2/2015 to Pico Art International Pte Ltd for $46101.0. Tender status is recorded as 'Awarded to Suppliers'. Judiciary-Supreme Court, a prominent Judiciary & Executive Bodies organization, has launched Tender No. JUDSUPETT14000009 for TENDER FOR THE PROVISION OF COMPREHENSIVE MAINTENANCE (PREVENTIVE AND CORRECTIVE) SERVICES OF THE SUPREME COURTS THE LEARNING COURT FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND THE SERVICES FOR A FURTHER PERIOD OF ONE (1) YEAR."
